	關卡類型	主關卡ID	次關卡ID	難度	前置關卡	背景編碼	ICON編碼	開放等級	消耗AP	次數限制	重置規則	戰力指標	時間限制	環境損傷	單人模式	特殊規則	場景編碼	配置編碼	音樂	BOSS進場音樂	BOSS戰音樂	隱藏要素	通關條件1	通關條件1參數	通關條件2	通關條件2參數	通關條件3	通關條件3參數	首破經驗	首破金幣	首破戰利品	獲得經驗	獲得金幣	獲得戰利品	獲得熟練度	BOSS介紹	路徑	開始時間	結束時間	起始版本	結束版本	名稱	說明	
241	1	2	4	1	231	bg_stage_002	icon_stage_002_004	0	8	-1	0	2702	0	15	0	0	stage01_0204_e1	stage01_0204_e1	BGM01,bgm_st_mine	null	null	2	1	0	2	300	3	30	1000	4800	191	64	800	181	40	null	300,-58,2,193.2,-56.6,-90,143.2,180,153.1	null	null	1.00.0000	null	STAGE_NAME_241	null	
251	1	2	5	1	241	bg_stage_002	icon_stage_002_005	0	8	-1	0	2948	0	15	0	0	stage01_0205_e1	stage01_0205_e1	BGM01,bgm_st_mine	null	null	2	1	0	2	300	3	30	1100	5000	211	64	800	201	40	null	50,191,6,157.4,191.6,90,163.3,180,64.8,90,126.7,0,441.6,90,196.9,180,132.1	null	null	1.00.0000	null	STAGE_NAME_251	null	
261	1	2	6	1	251	bg_stage_002	icon_stage_002_006	0	8	-1	0	3182	0	15	0	0	stage01_0206_e1	stage01_0206_e1	BGM01,bgm_st_mine	null	BGM02,bgm_st_boss17	0	1	0	2	300	3	30	1200	5200	231	64	800	221	40	SCORPIO	632,42,1,0,0,0,0	null	null	1.00.0000	null	STAGE_NAME_261	null	
311	1	3	1	1	261	bg_stage_003	icon_stage_003_001	0	8	-1	0	3596	0	15	0	0	stage01_0301_e1	stage01_0301_e1	BGM01,bgm_st_factory	null	null	1	1	0	2	300	3	30	1300	5400	251	64	800	241	40	null	-623.6,236,4,-620.9,143,0,114.3,-90,137.2,0,55.3,90,203.7	null	null	1.00.0000	null	STAGE_NAME_311	null	
321	1	3	2	1	311	bg_stage_003	icon_stage_003_002	0	8	-1	0	3986	0	15	0	0	stage01_0302_e1	stage01_0302_e1	BGM01,bgm_st_factory	null	null	1	1	0	2	300	3	30	1320	5600	271	64	800	261	40	null	-446,-23,7,-338.8,-19.9,90,35.7,180,181.5,90,102.2,0,293.2,-90,49.6,0,180.5,90,29.9	null	null	1.00.0000	null	STAGE_NAME_321	null	
331	1	3	3	1	321	bg_stage_003	icon_stage_003_003	0	8	-1	0	4421	0	15	0	0	stage01_0303_e1	stage01_0303_e1	BGM01,bgm_st_factory	BGM00,bgm_ev_bossentry01	BGM02,bgm_st_boss21	0	1	0	2	300	3	30	1340	5800	291	64	800	281	40	CF0	-117,-312,3,-119.5,-217.46,180,542.1,90,213,0,102.3	null	null	1.00.0000	null	STAGE_NAME_331	null	
341	1	3	4	1	331	bg_stage_003	icon_stage_003_004	0	8	-1	0	4916	0	15	0	0	stage01_0304_e1	stage01_0304_e1	BGM01,bgm_st_factory	null	null	2	1	0	2	300	3	30	1360	6000	311	64	800	301	40	null	94,125.5,5,93.2,33.2,0,272,90,125,180,237.4,90,150.2,0,59	null	null	1.00.0000	null	STAGE_NAME_341	null	
351	1	3	5	1	341	bg_stage_003	icon_stage_003_005	0	8	-1	0	5466	0	15	0	0	stage01_0305_e1	stage01_0305_e1	BGM01,bgm_st_factory	null	null	2	1	0	2	300	3	30	1380	6200	331	64	800	321	40	null	368,-156,6,475.6,-155.3,90,49,0,186,90,254.4,180,254.4,-90,70,180,54.7	null	null	1.00.0000	null	STAGE_NAME_351	null	
361	1	3	6	1	351	bg_stage_003	icon_stage_003_006	0	8	-1	0	6086	0	15	0	0	stage01_0306_e1	stage01_0306_e1	BGM01,bgm_st_factory	null	BGM01,bgm_st_boss05	0	1	0	2	300	3	30	1400	6400	351	64	800	341	40	BANGDA	704,60,1,0,0,0,0	null	null	1.00.0000	null	STAGE_NAME_361	null	
112	1	1	1	2	361	bg_stage_001	icon_stage_001_001	0	8	-1	0	6792	0	15	0	0	stage101_0101_e1	stage101_0101_e1	BGM00,bgm_st_highway	null	BGM02,bgm_st_boss12	1	1	0	2	300	3	30	1420	6600	371	64	800	361	40	MAOH	-625,235,4,-625,138,0,284.49,90,71.4,180,147.5,90,71.9	null	null	1.00.0000	null	STAGE_NAME_112	null	
122	1	1	2	2	112	bg_stage_001	icon_stage_001_002	0	8	-1	0	7346	0	15	0	0	stage01_0102_e1	stage01_0102_e1	BGM00,bgm_st_highway	null	null	1	1	0	2	300	3	30	1440	6800	391	64	800	381	40	null	-378,0,3,-272,0,90,35.7,180,168.7,90,31.5	null	null	1.00.0000	null	STAGE_NAME_122	null	
132	1	1	3	2	122	bg_stage_001	icon_stage_001_003	0	8	-1	0	8225	0	15	0	0	stage01_0103_e1	stage01_0103_e1	BGM00,bgm_st_highway	null	null	1	1	0	2	300	3	30	1460	7000	411	64	800	401	40	null	-100,165,7,4,165,90,67.9,0,230.2,-90,97.2,0,312.5,90,75.7,180,148.4,90,28	null	null	1.00.0000	null	STAGE_NAME_132	null	
142	1	1	4	2	132	bg_stage_001	icon_stage_001_004	0	8	-1	0	9316	0	15	0	0	stage01_0104_e1	stage01_0104_e1	BGM00,bgm_st_highway	null	null	0	1	0	2	300	3	30	1480	7200	431	64	800	421	40	null	185,-227,5,291.1,-227,90,47.6,180,260,-90,123.5,180,133.7,90,77.2	null	null	1.00.0000	null	STAGE_NAME_142	null	
152	1	1	5	2	142	bg_stage_001	icon_stage_001_005	0	8	-1	0	10906	0	15	0	0	stage01_0105_e1	stage01_0105_e1	BGM00,bgm_st_highway	null	null	2	1	0	2	300	3	30	1500	7400	451	64	800	441	40	null	400,162,3,507.2,163,90,35.2,0,265.6,90,28.6	null	null	1.00.0000	null	STAGE_NAME_152	null	
162	1	1	6	2	152	bg_stage_001	icon_stage_001_006	0	8	-1	0	12177	0	15	0	0	stage01_0106_e1	stage01_0106_e1	BGM00,bgm_st_highway	null	BGM02,bgm_st_boss12	0	1	0	2	300	3	30	1500	7600	471	64	800	461	40	MAOH	675,-100,1,0,0,0,0	null	null	1.00.0000	null	STAGE_NAME_162	null	
411	1	4	1	1	162	bg_stage_004	icon_stage_004_001	0	8	-1	0	13555	0	15	0	0	stage01_0401_e1	stage01_0401_e1	BGM01,bgm_st_airforce	null	null	2	1	0	2	300	3	30	1500	7800	491	64	800	481	40	null	-654,96,5,-654,192,180,103.3,90,171.9,0,298.1,90,191.2,-180,132.9	null	null	1.00.0000	null	STAGE_NAME_411	null	
421	1	4	2	1	411	bg_stage_004	icon_stage_004_002	0	8	-1	0	15489	0	15	0	0	stage01_0402_e1	stage01_0402_e1	BGM01,bgm_st_airforce	null	null	2	1	0	2	300	3	30	1500	8000	511	64	800	501	40	null	-290,223,4,-185.1,223,90,146.4,0,125.6,-90,109,0,156.1	null	null	1.00.0000	null	STAGE_NAME_421	null	
431	1	4	3	1	421	bg_stage_004	icon_stage_004_003	0	8	-1	0	18276	0	15	0	0	stage01_0403_e1	stage01_0403_e1	BGM01,bgm_st_airforce	null	null	1	1	0	2	300	3	30	1500	8200	531	64	800	521	40	null	-146,-152,5,-146,-245.6,0,60.7,90,163.9,180,105.9,90,135.1,180,120.9	null	null	1.00.0000	null	STAGE_NAME_431	null	
441	1	4	4	1	431	bg_stage_004	icon_stage_004_004	0	8	-1	0	19907	0	15	0	0	stage01_0404_e1	stage01_0404_e1	BGM01,bgm_st_airforce	null	null	3	1	0	2	300	3	30	1500	8400	551	64	800	541	40	null	145,16,5,145,112.5,180,188.4,90,57.9,0,102.1,90,241.8,0,181.1	null	null	1.00.0000	null	STAGE_NAME_441	null	
451	1	4	5	1	441	bg_stage_004	icon_stage_004_005	0	8	-1	0	22578	0	15	0	0	stage01_0405_e1	stage01_0405_e1	BGM01,bgm_st_airforce	null	null	3	1	0	2	300	3	30	1500	8600	571	64	800	561	40	null	443,-78,6,550.1,-78,90,62.6,0,155,-90,288.7,0,42.9,90,377.3,180,290.9	null	null	1.00.0000	null	STAGE_NAME_451	null	
461	1	4	6	1	451	bg_stage_004	icon_stage_004_006	0	8	-1	0	24340	0	15	0	0	stage01_0406_e1	stage01_0406_e1	BGM01,bgm_st_airforce	null	null	0	1	0	2	300	3	30	1500	8800	591	64	800	581	40	PENGUIN	694,115,1,0,0,0,0	null	null	1.00.0000	null	STAGE_NAME_461	null	
212	1	2	1	2	461	bg_stage_002	icon_stage_002_001	0	8	-1	0	26339	0	15	0	0	stage01_0201_e1	stage01_0201_e1	BGM01,bgm_st_mine	null	null	1	1	0	2	300	3	30	1500	9000	611	64	800	601	40	null	-665,-50,4,-665,44.2,180,233.4,90,162.5,0,253.4,90,48.8	null	null	1.00.0000	null	STAGE_NAME_212	null	
222	1	2	2	2	212	bg_stage_002	icon_stage_002_002	0	8	-1	0	29741	0	15	0	0	stage01_0202_e1	stage01_0202_e1	BGM01,bgm_st_mine	null	null	1	1	0	2	300	3	30	1500	9200	631	64	800	621	40	null	-350,24,4,-350,-70,0,92.4,90,89,0,84,90,106.3	null	null	1.00.0000	null	STAGE_NAME_222	null	
232	1	2	3	2	222	bg_stage_002	icon_stage_002_003	0	8	-1	0	31998	0	15	0	0	stage01_0203_e1	stage01_0203_e1	BGM01,bgm_st_mine	null	null	1	1	0	2	300	3	30	1500	9400	651	64	800	641	40	null	-50.00001,-243,4,57.9,-240.5,90,109.46,0,100.6,90,140.2,180,186.6	null	null	1.00.0000	null	STAGE_NAME_232	null	
242	1	2	4	2	232	bg_stage_002	icon_stage_002_004	0	8	-1	0	34322	0	15	0	0	stage01_0204_e1	stage01_0204_e1	BGM01,bgm_st_mine	null	null	2	1	0	2	300	3	30	1500	9600	671	64	800	661	40	null	300,-58,2,193.2,-56.6,-90,143.2,180,153.1	null	null	1.00.0000	null	STAGE_NAME_242	null	
252	1	2	5	2	242	bg_stage_002	icon_stage_002_005	0	8	-1	0	38452	0	15	0	0	stage01_0205_e1	stage01_0205_e1	BGM01,bgm_st_mine	null	null	2	1	0	2	300	3	30	1500	9800	691	64	800	681	40	null	50,191,6,157.4,191.6,90,163.3,180,64.8,90,126.7,0,441.6,90,196.9,180,132.1	null	null	1.00.0000	null	STAGE_NAME_252	null	
262	1	2	6	2	252	bg_stage_002	icon_stage_002_006	0	8	-1	0	41119	0	15	0	0	stage01_0206_e1	stage01_0206_e1	BGM01,bgm_st_mine	null	BGM02,bgm_st_boss17	0	1	0	2	300	3	30	1500	10000	711	64	800	701	40	SCORPIO	632,42,1,0,0,0,0	null	null	1.00.0000	null	STAGE_NAME_262	null	
511	1	5	1	1	262	bg_stage_005	icon_stage_005_001	0	8	-1	0	43769	0	15	0	0	stage01_0501_e1	stage01_0501_e1	BGM01,bgm_st_sky	null	null	3	1	0	2	300	3	30	1500	10000	731	64	800	721	40	null	-639.15,122.5,5,-639.15,218.2,180,108,90,156.1,0,232.2,90,201.8,0,96.9	null	null	1.00.0000	null	STAGE_NAME_511	null	
521	1	5	2	1	511	bg_stage_005	icon_stage_005_002	0	8	-1	0	46514	0	15	0	0	stage01_0502_e1	stage01_0502_e1	BGM01,bgm_st_sky	null	null	3	1	0	2	300	3	30	1500	10000	751	64	800	741	40	null	-285.2,-97.4,7,-285.2,-192.3,0,216.7,90,357.4,-180,77.8,-90,120.3,-180,233.3,-90,71.5,-180,253.6	null	null	1.00.0000	null	STAGE_NAME_521	null	
531	1	5	3	1	521	bg_stage_005	icon_stage_005_003	0	8	-1	0	49349	0	15	0	0	stage01_0503_e1	stage01_0503_e1	BGM01,bgm_st_sky	null	null	2	1	0	2	300	3	30	1500	10000	771	64	800	761	40	null	-117,247.9,4,-12.6,247.9,90,226.1,0,127.4,-90,91.9,0,68.1	null	null	1.00.0000	null	STAGE_NAME_531	null	
541	1	5	4	1	531	bg_stage_005	icon_stage_005_004	0	8	-1	0	52431	0	15	0	0	stage01_0504_e1	stage01_0504_e1	BGM01,bgm_st_sky	null	null	2	1	0	2	300	3	30	1500	10000	791	64	800	781	40	null	122.2,-39.6,7,228,-39.6,90,50.9,0,160.1,-90,175.2,0,92.9,90,209.2,180,479.5,90,53.8	null	null	1.00.0000	null	STAGE_NAME_541	null	
551	1	5	5	1	541	bg_stage_005	icon_stage_005_005	0	8	-1	0	55440	0	15	0	0	stage01_0505_e1	stage01_0505_e1	BGM01,bgm_st_sky	null	null	3	1	0	2	300	3	30	1500	10000	811	64	800	801	40	null	473.7,189.2,5,579.9,189.2,90,182,0,148.4,-90,254.4,0,200.4,90,78.4	null	null	1.00.0000	null	STAGE_NAME_551	null	
561	1	5	6	1	551	bg_stage_005	icon_stage_005_006	0	8	-1	0	58588	0	15	0	0	stage01_0506_e1	stage01_0506_e1	BGM01,bgm_st_sky	BGM01,bgm_ev_vava01	BGM02,bgm_st_boss08	0	1	0	2	300	3	30	1500	10000	831	64	800	821	40	VAVAMK2	694,-154.5,1,0,0,0,0	null	null	1.00.0000	null	STAGE_NAME_561	null	
312	1	3	1	2	561	bg_stage_003	icon_stage_003_001	0	8	-1	0	61816	0	15	0	0	stage01_0301_e1	stage01_0301_e1	BGM01,bgm_st_factory	null	null	2	1	0	2	300	3	30	1500	10000	851	64	800	841	40	null	-623.6,236,4,-620.9,143,0,114.3,-90,137.2,0,55.3,90,203.7	null	null	1.00.0000	null	STAGE_NAME_312	null	
322	1	3	2	2	312	bg_stage_003	icon_stage_003_002	0	8	-1	0	65170	0	15	0	0	stage01_0302_e1	stage01_0302_e1	BGM01,bgm_st_factory	null	null	1	1	0	2	300	3	30	1500	10000	871	64	800	861	40	null	-446,-23,7,-338.8,-19.9,90,35.7,180,181.5,90,102.2,0,293.2,-90,49.6,0,180.5,90,29.9	null	null	1.00.0000	null	STAGE_NAME_322	null	
332	1	3	3	2	322	bg_stage_003	icon_stage_003_003	0	8	-1	0	68615	0	15	0	0	stage01_0303_e1	stage01_0303_e1	BGM01,bgm_st_factory	BGM00,bgm_ev_bossentry01	BGM02,bgm_st_boss21	1	1	0	2	300	3	30	1500	10000	891	64	800	881	40	CF0	-117,-312,3,-119.5,-217.46,180,542.1,90,213,0,102.3	null	null	1.00.0000	null	STAGE_NAME_332	null	
342	1	3	4	2	332	bg_stage_003	icon_stage_003_004	0	8	-1	0	72174	0	15	0	0	stage01_0304_e1	stage01_0304_e1	BGM01,bgm_st_factory	null	null	2	1	0	2	300	3	30	1500	10000	911	64	800	901	40	null	94,125.5,5,93.2,33.2,0,272,90,125,180,237.4,90,150.2,0,59	null	null	1.00.0000	null	STAGE_NAME_342	null	
352	1	3	5	2	342	bg_stage_003	icon_stage_003_005	0	8	-1	0	75848	0	15	0	0	stage01_0305_e1	stage01_0305_e1	BGM01,bgm_st_factory	null	null	2	1	0	2	300	3	30	1500	10000	931	64	800	921	40	null	368,-156,6,475.6,-155.3,90,49,0,186,90,254.4,180,254.4,-90,70,180,54.7	null	null	1.00.0000	null	STAGE_NAME_352	null	
362	1	3	6	2	352	bg_stage_003	icon_stage_003_006	0	8	-1	0	79628	0	15	0	0	stage01_0306_e1	stage01_0306_e1	BGM01,bgm_st_factory	null	BGM01,bgm_st_boss05	0	1	0	2	300	3	30	1500	10000	951	64	800	941	40	BANGDA	704,60,1,0,0,0,0	null	null	1.00.0000	null	STAGE_NAME_362	null	
611	1	6	1	1	362	bg_stage_006	icon_stage_006_001	0	8	-1	0	83512	0	15	0	0	stage01_0601_e1	stage01_0601_e1	BGM01,bgm_st_island	null	null	3	1	0	2	300	3	30	1500	10000	971	64	800	961	40	null	-658.7,-31.43,4,-552.2,-31.43,90,93.3,0,102.5,90,86.4,180,127.3	null	null	1.00.0000	null	STAGE_NAME_611	null	
621	1	6	2	1	611	bg_stage_006	icon_stage_006_002	0	8	-1	0	87539	0	15	0	0	stage01_0602_e1	stage01_0602_e1	BGM01,bgm_st_island	null	null	3	1	0	2	300	3	30	1500	10000	991	64	800	981	40	null	-378,91.5,7,-378,187.1,180,70.8,90,100.1,180,89.7,90,58.9,0,286.6,90,137.8,180,72.3	null	null	1.00.0000	null	STAGE_NAME_621	null	
631	1	6	3	1	621	bg_stage_006	icon_stage_006_003	0	8	-1	0	91571	0	15	0	0	stage01_0603_e1	stage01_0603_e1	BGM01,bgm_st_island	null	null	2	1	0	2	300	3	30	1500	10000	1011	64	800	1001	40	null	-89.08,224.1,4,18.3,224.1,90,97.2,0,230.2,-90,97.2,0,97.6	null	null	1.00.0000	null	STAGE_NAME_631	null	
641	1	6	4	1	631	bg_stage_006	icon_stage_006_004	0	8	-1	0	95727	0	15	0	0	stage01_0604_e1	stage01_0604_e1	BGM01,bgm_st_island	null	null	3	1	0	2	300	3	30	1500	10000	1031	64	800	1021	40	null	19.4,-198.7,8,-88.3,-198.7,-90,113.9,0,180.2,90,425.1,180,97.3,90,77.2,180,77.2,90,39,180,227.3	null	null	1.00.0000	null	STAGE_NAME_641	null	
651	1	6	5	1	641	bg_stage_006	icon_stage_006_005	0	8	-1	0	100202	0	15	0	0	stage01_0605_e1	stage01_0605_e1	BGM01,bgm_st_island	null	null	3	1	0	2	300	3	30	1500	10000	1051	64	800	1041	40	null	333.9,115.1,4,443.6,115.1,90,35.2,0,443.9,90,198.5,180,153.1	null	null	1.00.0000	null	STAGE_NAME_651	null	
661	1	6	6	1	651	bg_stage_006	icon_stage_006_006	0	8	-1	0	104794	0	15	0	0	stage01_0606_e1	stage01_0606_e1	BGM01,bgm_st_island	null	BGM01,bgm_st_mboss01	0	1	0	2	300	3	30	1500	10000	1071	64	800	1061	40	SONIC	671.7,-77.6,1,0,0,0,0	null	null	1.00.0000	null	STAGE_NAME_661	null	
412	1	4	1	2	661	bg_stage_004	icon_stage_004_001	0	8	-1	0	109332	0	15	0	0	stage01_0401_e1	stage01_0401_e1	BGM01,bgm_st_airforce	null	null	2	1	0	2	300	3	30	1500	10000	1091	64	800	1081	40	null	-654,96,5,-654,192,180,103.3,90,171.9,0,298.1,90,191.2,-180,132.9	null	null	1.00.0000	null	STAGE_NAME_412	null	
422	1	4	2	2	412	bg_stage_004	icon_stage_004_002	0	8	-1	0	114000	0	15	0	0	stage01_0402_e1	stage01_0402_e1	BGM01,bgm_st_airforce	null	null	2	1	0	2	300	3	30	1500	10000	1111	64	800	1101	40	null	-290,223,4,-185.1,223,90,146.4,0,125.6,-90,109,0,156.1	null	null	1.00.0000	null	STAGE_NAME_422	null	
432	1	4	3	2	422	bg_stage_004	icon_stage_004_003	0	8	-1	0	118768	0	15	0	0	stage01_0403_e1	stage01_0403_e1	BGM01,bgm_st_airforce	null	null	1	1	0	2	300	3	30	1500	10000	1131	64	800	1121	40	null	-146,-152,5,-146,-245.6,0,60.7,90,163.9,180,105.9,90,135.1,180,120.9	null	null	1.00.0000	null	STAGE_NAME_432	null	
442	1	4	4	2	432	bg_stage_004	icon_stage_004_004	0	8	-1	0	123894	0	15	0	0	stage01_0404_e1	stage01_0404_e1	BGM01,bgm_st_airforce	null	null	3	1	0	2	300	3	30	1500	10000	1151	64	800	1141	40	null	145,16,5,145,112.5,180,188.4,90,57.9,0,102.1,90,241.8,0,181.1	null	null	1.00.0000	null	STAGE_NAME_442	null	
452	1	4	5	2	442	bg_stage_004	icon_stage_004_005	0	8	-1	0	129130	0	15	0	0	stage01_0405_e1	stage01_0405_e1	BGM01,bgm_st_airforce	null	null	3	1	0	2	300	3	30	1500	10000	1171	64	800	1161	40	null	443,-78,6,550.1,-78,90,62.6,0,155,-90,288.7,0,42.9,90,377.3,180,290.9	null	null	1.00.0000	null	STAGE_NAME_452	null	
462	1	4	6	2	452	bg_stage_004	icon_stage_004_006	0	8	-1	0	134493	0	15	0	0	stage01_0406_e1	stage01_0406_e1	BGM01,bgm_st_airforce	null	null	0	1	0	2	300	3	30	1500	10000	1191	64	800	1181	40	PENGUIN	694,115,1,0,0,0,0	null	null	1.00.0000	null	STAGE_NAME_462	null	
711	1	7	1	1	462	bg_stage_007	icon_stage_007_001	0	8	-1	0	143306	0	15	0	0	stage01_0701_e1	stage01_0701_e1	BGM01,bgm_st_forest	null	null	3	1	0	2	300	3	30	1500	10000	1211	64	800	1201	40	null	-625,235,4,-625,138,0,284.49,90,71.4,180,147.5,90,71.9	null	null	2.00.0000	null	STAGE_NAME_711	null	
721	1	7	2	1	711	bg_stage_007	icon_stage_007_002	0	8	-1	0	149091	0	15	0	0	stage01_0702_e1	stage01_0702_e1	BGM01,bgm_st_forest	null	null	3	1	0	2	300	3	30	1500	10000	1231	64	800	1221	40	null	-378,0,3,-272,0,90,35.7,180,168.7,90,31.5	null	null	2.00.0000	null	STAGE_NAME_721	null	
731	1	7	3	1	721	bg_stage_007	icon_stage_007_003	0	8	-1	0	154999	0	15	0	0	stage01_0703_e1	stage01_0703_e1	BGM01,bgm_st_forest	BGM01,bgm_ev_vava01	BGM02,bgm_st_boss08	2	1	0	2	300	3	30	1500	10000	1251	64	800	1241	40	null	-100,165,7,4,165,90,67.9,0,230.2,-90,97.2,0,312.5,90,75.7,180,148.4,90,28	null	null	2.00.0000	null	STAGE_NAME_731	null	
741	1	7	4	1	731	bg_stage_007	icon_stage_007_004	0	8	-1	0	161078	0	15	0	0	stage01_0704_e1	stage01_0704_e1	BGM01,bgm_st_forest	null	null	3	1	0	2	300	3	30	1500	10000	1271	64	800	1261	40	null	185,-227,5,291.1,-227,90,47.6,180,260,-90,123.5,180,133.7,90,77.2	null	null	2.00.0000	null	STAGE_NAME_741	null	
751	1	7	5	1	741	bg_stage_007	icon_stage_007_005	0	8	-1	0	167308	0	15	0	0	stage01_0705_e1	stage01_0705_e1	BGM01,bgm_st_forest	null	null	3	1	0	2	300	3	30	1500	10000	1291	64	800	1281	40	null	400,162,3,507.2,163,90,35.2,0,265.6,90,28.6	null	null	2.00.0000	null	STAGE_NAME_751	null	
761	1	7	6	1	751	bg_stage_007	icon_stage_007_006	0	8	-1	0	173459	0	15	0	0	stage01_0706_e1	stage01_0706_e1	BGM01,bgm_st_forest	null	null	0	1	0	2	300	3	30	1500	10000	1311	64	800	1301	40	CHAMELEON	675,-100,1,0,0,0,0	null	null	2.00.0000	null	STAGE_NAME_761	null	
512	1	5	1	2	761	bg_stage_005	icon_stage_005_001	0	8	-1	0	183905	0	15	0	0	stage01_0501_e1	stage01_0501_e1	BGM01,bgm_st_sky	null	null	3	1	0	2	300	3	30	1500	10000	1331	64	800	1321	40	null	-639.15,122.5,5,-639.15,218.2,180,108,90,156.1,0,232.2,90,201.8,0,96.9	null	null	2.00.0000	null	STAGE_NAME_512	null	
522	1	5	2	2	512	bg_stage_005	icon_stage_005_002	0	8	-1	0	190707	0	15	0	0	stage01_0502_e1	stage01_0502_e1	BGM01,bgm_st_sky	null	null	3	1	0	2	300	3	30	1500	10000	1351	64	800	1341	40	null	-285.2,-97.4,7,-285.2,-192.3,0,216.7,90,357.4,-180,77.8,-90,120.3,-180,233.3,-90,71.5,-180,253.6	null	null	2.00.0000	null	STAGE_NAME_522	null	
