鍵值	繁體中文	简体中文	日文	英文	泰文	葡语	西语	德语	俄语	法语	韓文
STAGE_NAME_321	工廠3-2(普通)	工厂3-2(普通)	工場3-2(ノーマル)	Factory 3-2(Normal)	โรงงาน 3-2 (ทั่วไป)	Fábrica 3-2(Normal)	Fábrica 3-2 (Normal)	Fabrik 3-2(Normal)	Фабрика 3-2(Норм)	Usine 3-2 (Normal)	공장 3-2(일반)
STAGE_NAME_331	工廠3-3(普通)	工厂3-3(普通)	工場3-3(ノーマル)	Factory 3-3(Normal)	โรงงาน 3-3 (ทั่วไป)	Fábrica 3-3(Normal)	Fábrica 3-3 (Normal)	Fabrik 3-3(Normal)	Фабрика 3-3(Норм)	Usine 3-3 (Normal)	공장 3-3(일반)
STAGE_NAME_341	工廠3-4(普通)	工厂3-4(普通)	工場3-4(ノーマル)	Factory 3-4(Normal)	โรงงาน 3-4 (ทั่วไป)	Fábrica 3-4(Normal)	Fábrica 3-4 (Normal)	Fabrik 3-4(Normal)	Фабрика 3-4(Норм)	Usine 3-4 (Normal)	공장 3-4(일반)
STAGE_NAME_351	工廠3-5(普通)	工厂3-5(普通)	工場3-5(ノーマル)	Factory 3-5(Normal)	โรงงาน 3-5 (ทั่วไป)	Fábrica 3-5(Normal)	Fábrica 3-5 (Normal)	Fabrik 3-5(Normal)	Фабрика 3-5(Норм)	Usine 3-5 (Normal)	공장 3-5(일반)
STAGE_NAME_361	工廠3-6(普通)	工厂3-6(普通)	工場3-6(ノーマル)	Factory 3-6(Normal)	โรงงาน 3-6 (ทั่วไป)	Fábrica 3-6(Normal)	Fábrica 3-6 (Normal)	Fabrik 3-6(Normal)	Фабрика 3-6(Норм)	Usine 3-6 (Normal)	공장 3-6(일반)
STAGE_NAME_112	高速公路1-1(困難)	高速公路1-1(困难)	ハイウェイ1-1(ハード)	Highway 1-1(Hard)	ไฮเวย์ 1-1 (ยาก)	Rodovia 1-1(Difícil)	Carretera 1-1 (Difícil)	Autobahn 1-1(Schwierig)	Трасса 1-1(Слож.)	Autoroute 1-1 (Difficile)	고속도로 1-1(어려움)
STAGE_NAME_122	高速公路1-2(困難)	高速公路1-2(困难)	ハイウェイ1-2(ハード)	Highway 1-2(Hard)	ไฮเวย์ 1-2 (ยาก)	Rodovia 1-2(Difícil)	Carretera 1-2 (Difícil)	Autobahn 1-2(Schwierig)	Трасса 1-2(Слож.)	Autoroute 1-2 (Difficile)	고속도로 1-2(어려움)
STAGE_NAME_132	高速公路1-3(困難)	高速公路1-3(困难)	ハイウェイ1-3(ハード)	Highway 1-3(Hard)	ไฮเวย์ 1-3 (ยาก)	Rodovia 1-3(Difícil)	Carretera 1-3 (Difícil)	Autobahn 1-3(Schwierig)	Трасса 1-3(Слож.)	Autoroute 1-3 (Difficile)	고속도로 1-3(어려움)
STAGE_NAME_142	高速公路1-4(困難)	高速公路1-4(困难)	ハイウェイ1-4(ハード)	Highway 1-4(Hard)	ไฮเวย์ 1-4 (ยาก)	Rodovia 1-4(Difícil)	Carretera 1-4 (Difícil)	Autobahn 1-4(Schwierig)	Трасса 1-4(Слож.)	Autoroute 1-4 (Difficile)	고속도로 1-4(어려움)
STAGE_NAME_152	高速公路1-5(困難)	高速公路1-5(困难)	ハイウェイ1-5(ハード)	Highway 1-5(Hard)	ไฮเวย์ 1-5 (ยาก)	Rodovia 1-5(Difícil)	Carretera 1-5 (Difícil)	Autobahn 1-5(Schwierig)	Трасса 1-5(Слож.)	Autoroute 1-5 (Difficile)	고속도로 1-5(어려움)
STAGE_NAME_162	高速公路1-6(困難)	高速公路1-6(困难)	ハイウェイ1-6(ハード)	Highway 1-6(Hard)	ไฮเวย์ 1-6 (ยาก)	Rodovia 1-6(Difícil)	Carretera 1-6 (Difícil)	Autobahn 1-6(Schwierig)	Трасса 1-6(Слож.)	Autoroute 1-6 (Difficile)	고속도로 1-6(어려움)
STAGE_NAME_411	空軍基地4-1(普通)	空军基地4-1(普通)	エアフォース4-1(ノーマル)	Air Force 4-1(Normal)	ฐานทัพอากาศ 4-1 (ทั่วไป)	Força Aérea 4-1(Normal)	Fuerza Aérea 4-1 (Normal)	Luftwaffe 4-1(Normal)	Воздушные Силы 4-1(Норм)	Force aérienne 4-1 (Normal)	공군 기지 4-1(일반)
STAGE_NAME_421	空軍基地4-2(普通)	空军基地4-2(普通)	エアフォース4-2(ノーマル)	Air Force 4-2(Normal)	ฐานทัพอากาศ 4-2 (ทั่วไป)	Força Aérea 4-2(Normal)	Fuerza Aérea 4-2 (Normal)	Luftwaffe 4-2(Normal)	Воздушные Силы 4-2(Норм)	Force aérienne 4-2 (Normal)	공군 기지 4-2(일반)
STAGE_NAME_431	空軍基地4-3(普通)	空军基地4-3(普通)	エアフォース4-3(ノーマル)	Air Force 4-3(Normal)	ฐานทัพอากาศ 4-3 (ทั่วไป)	Força Aérea 4-3(Normal)	Fuerza Aérea 4-3 (Normal)	Luftwaffe 4-3(Normal)	Воздушные Силы 4-3(Норм)	Force aérienne 4-3 (Normal)	공군 기지 4-3(일반)
STAGE_NAME_441	空軍基地4-4(普通)	空军基地4-4(普通)	エアフォース4-4(ノーマル)	Air Force 4-4(Normal)	ฐานทัพอากาศ 4-4 (ทั่วไป)	Força Aérea 4-4(Normal)	Fuerza Aérea 4-4 (Normal)	Luftwaffe 4-4(Normal)	Воздушные Силы 4-4(Норм)	Force aérienne 4-4 (Normal)	공군 기지 4-4(일반)
STAGE_NAME_451	空軍基地4-5(普通)	空军基地4-5(普通)	エアフォース4-5(ノーマル)	Air Force 4-5(Normal)	ฐานทัพอากาศ 4-5 (ทั่วไป)	Força Aérea 4-5(Normal)	Fuerza Aérea 4-5 (Normal)	Luftwaffe 4-5(Normal)	Воздушные Силы 4-5(Норм)	Force aérienne 4-5 (Normal)	공군 기지 4-5(일반)
STAGE_NAME_461	空軍基地4-6(普通)	空军基地4-6(普通)	エアフォース4-6(ノーマル)	Air Force 4-6(Normal)	ฐานทัพอากาศ 4-6 (ทั่วไป)	Força Aérea 4-6(Normal)	Fuerza Aérea 4-6 (Normal)	Luftwaffe 4-6(Normal)	Воздушные Силы 4-6(Норм)	Force aérienne 4-6 (Normal)	공군 기지 4-6(일반)
STAGE_NAME_212	礦山2-1(困難)	矿山2-1(困难)	鉱山2-1(ハード)	Gallery 2-1(Hard)	เหมือง 2-1 (ยาก)	Galeria 2-1(Difícil)	Galería 2-1 (Difícil)	Galerie 2-1(Schwierig)	Галерея 2-1(Слож.)	Galerie 2-1 (Difficile)	광산 2-1(어려움)
STAGE_NAME_222	礦山2-2(困難)	矿山2-2(困难)	鉱山2-2(ハード)	Gallery 2-2(Hard)	เหมือง 2-2 (ยาก)	Galeria 2-2(Difícil)	Galería 2-2 (Difícil)	Galerie 2-2(Schwierig)	Галерея 2-2(Слож.)	Galerie 2-2 (Difficile)	광산 2-2(어려움)
STAGE_NAME_232	礦山2-3(困難)	矿山2-3(困难)	鉱山2-3(ハード)	Gallery 2-3(Hard)	เหมือง 2-3 (ยาก)	Galeria 2-3(Difícil)	Galería 2-3 (Difícil)	Galerie 2-3(Schwierig)	Галерея 2-3(Слож.)	Galerie 2-3 (Difficile)	광산 2-3(어려움)
STAGE_NAME_242	礦山2-4(困難)	矿山2-4(困难)	鉱山2-4(ハード)	Gallery 2-4(Hard)	เหมือง 2-4 (ยาก)	Galeria 2-4(Difícil)	Galería 2-4 (Difícil)	Galerie 2-4(Schwierig)	Галерея 2-4(Слож.)	Galerie 2-4 (Difficile)	광산 2-4(어려움)
STAGE_NAME_252	礦山2-5(困難)	矿山2-5(困难)	鉱山2-5(ハード)	Gallery 2-5(Hard)	เหมือง 2-5 (ยาก)	Galeria 2-5(Difícil)	Galería 2-5 (Difícil)	Galerie 2-5(Schwierig)	Галерея 2-5(Слож.)	Galerie 2-5 (Difficile)	광산 2-5(어려움)
STAGE_NAME_262	礦山2-6(困難)	矿山2-6(困难)	鉱山2-6(ハード)	Gallery 2-6(Hard)	เหมือง 2-6 (ยาก)	Galeria 2-6(Difícil)	Galería 2-6 (Difícil)	Galerie 2-6(Schwierig)	Галерея 2-6(Слож.)	Galerie 2-6 (Difficile)	광산 2-6(어려움)
STAGE_NAME_511	機場5-1(普通)	机场5-1(普通)	空港5-1(ノーマル)	Sky 5-1(Normal)	สนามบิน 5-1 (ทั่วไป)	Céu 5-1(Normal)	Cielo 5-1 (Normal)	Himmel 5-1(Normal)	Небо 5-1(Норм)	Ciel 5-1 (Normal)	공항 5-1(일반)
STAGE_NAME_521	機場5-2(普通)	机场5-2(普通)	空港5-2(ノーマル)	Sky 5-2(Normal)	สนามบิน 5-2 (ทั่วไป)	Céu 5-2(Normal)	Cielo 5-2 (Normal)	Himmel 5-2(Normal)	Небо 5-2(Норм)	Ciel 5-2 (Normal)	공항 5-2(일반)
STAGE_NAME_531	機場5-3(普通)	机场5-3(普通)	空港5-3(ノーマル)	Sky 5-3(Normal)	สนามบิน 5-3 (ทั่วไป)	Céu 5-3(Normal)	Cielo 5-3 (Normal)	Himmel 5-3(Normal)	Небо 5-3(Норм)	Ciel 5-3 (Normal)	공항 5-3(일반)
STAGE_NAME_541	機場5-4(普通)	机场5-4(普通)	空港5-4(ノーマル)	Sky 5-4(Normal)	สนามบิน 5-4 (ทั่วไป)	Céu 5-4(Normal)	Cielo 5-4 (Normal)	Himmel 5-4(Normal)	Небо 5-4(Норм)	Ciel 5-4 (Normal)	공항 5-4(일반)
STAGE_NAME_551	機場5-5(普通)	机场5-5(普通)	空港5-5(ノーマル)	Sky 5-5(Normal)	สนามบิน 5-5 (ทั่วไป)	Céu 5-5(Normal)	Cielo 5-5 (Normal)	Himmel 5-5(Normal)	Небо 5-5(Норм)	Ciel 5-5 (Normal)	공항 5-5(일반)
STAGE_NAME_561	機場5-6(普通)	机场5-6(普通)	空港5-6(ノーマル)	Sky 5-6(Normal)	สนามบิน 5-6 (ทั่วไป)	Céu 5-6(Normal)	Cielo 5-6 (Normal)	Himmel 5-6(Normal)	Небо 5-6(Норм)	Ciel 5-6 (Normal)	공항 5-6(일반)
STAGE_NAME_312	工廠3-1(困難)	工厂3-1(困难)	工場3-1(ハード)	Factory 3-1(Hard)	โรงงาน 3-1 (ยาก)	Fábrica 3-1(Difícil)	Fábrica 3-1 (Difícil)	Fabrik 3-1(Schwierig)	Фабрика 3-1(Слож.)	Usine 3-1 (Difficile)	공장 3-1(어려움)
STAGE_NAME_322	工廠3-2(困難)	工厂3-2(困难)	工場3-2(ハード)	Factory 3-2(Hard)	โรงงาน 3-2 (ยาก)	Fábrica 3-2(Difícil)	Fábrica 3-2 (Difícil)	Fabrik 3-2(Schwierig)	Фабрика 3-2(Слож.)	Usine 3-2 (Difficile)	공장 3-2(어려움)
STAGE_NAME_332	工廠3-3(困難)	工厂3-3(困难)	工場3-3(ハード)	Factory 3-3(Hard)	โรงงาน 3-3 (ยาก)	Fábrica 3-3(Difícil)	Fábrica 3-3 (Difícil)	Fabrik 3-3(Schwierig)	Фабрика 3-3(Слож.)	Usine 3-3 (Difficile)	공장 3-3(어려움)
STAGE_NAME_342	工廠3-4(困難)	工厂3-4(困难)	工場3-4(ハード)	Factory 3-4(Hard)	โรงงาน 3-4 (ยาก)	Fábrica 3-4(Difícil)	Fábrica 3-4 (Difícil)	Fabrik 3-4(Schwierig)	Фабрика 3-4(Слож.)	Usine 3-4 (Difficile)	공장 3-4(어려움)
STAGE_NAME_352	工廠3-5(困難)	工厂3-5(困难)	工場3-5(ハード)	Factory 3-5(Hard)	โรงงาน 3-5 (ยาก)	Fábrica 3-5(Difícil)	Fábrica 3-5 (Difícil)	Fabrik 3-5(Schwierig)	Фабрика 3-5(Слож.)	Usine 3-5 (Difficile)	공장 3-5(어려움)
STAGE_NAME_362	工廠3-6(困難)	工厂3-6(困难)	工場3-6(ハード)	Factory 3-6(Hard)	โรงงาน 3-6 (ยาก)	Fábrica 3-6(Difícil)	Fábrica 3-6 (Difícil)	Fabrik 3-6(Schwierig)	Фабрика 3-6(Слож.)	Usine 3-6 (Difficile)	공장 3-6(어려움)
STAGE_NAME_611	浮遊遺跡6-1(普通)	浮游遗迹6-1(普通)	浮遊遺跡6-1(ノーマル)	Floating Ruins 6-1(Normal)	ซากโบราณลอยน้ำ 5-1 (ทั่วไป)	Ruínas Flutuantes 6-1(Normal)	Ruinas Flotantes 6-1 (Normal)	Schwimmende Ruinen 6-1(Normal)	Парящие Руины 6-1(Норм)	Ruines flottantes 6-1 (Normal)	부유 유적 6-1(일반)
STAGE_NAME_621	浮遊遺跡6-2(普通)	浮游遗迹6-2(普通)	浮遊遺跡6-2(ノーマル)	Floating Ruins 6-2(Normal)	ซากโบราณลอยน้ำ 5-2 (ทั่วไป)	Ruínas Flutuantes 6-2(Normal)	Ruinas Flotantes 6-2 (Normal)	Schwimmende Ruinen 6-2(Normal)	Парящие Руины 6-2(Норм)	Ruines flottantes 6-2 (Normal)	부유 유적 6-2(일반)
STAGE_NAME_631	浮遊遺跡6-3(普通)	浮游遗迹6-3(普通)	浮遊遺跡6-3(ノーマル)	Floating Ruins 6-3(Normal)	ซากโบราณลอยน้ำ 5-3 (ทั่วไป)	Ruínas Flutuantes 6-3(Normal)	Ruinas Flotantes 6-3 (Normal)	Schwimmende Ruinen 6-3(Normal)	Парящие Руины 6-3(Норм)	Ruines flottantes 6-3 (Normal)	부유 유적 6-3(일반)
STAGE_NAME_641	浮遊遺跡6-4(普通)	浮游遗迹6-4(普通)	浮遊遺跡6-4(ノーマル)	Floating Ruins 6-4(Normal)	ซากโบราณลอยน้ำ 5-4 (ทั่วไป)	Ruínas Flutuantes 6-4(Normal)	Ruinas Flotantes 6-4 (Normal)	Schwimmende Ruinen 6-4(Normal)	Парящие Руины 6-4(Норм)	Ruines flottantes 6-4 (Normal)	부유 유적 6-4(일반)
STAGE_NAME_651	浮遊遺跡6-5(普通)	浮游遗迹6-5(普通)	浮遊遺跡6-5(ノーマル)	Floating Ruins 6-5(Normal)	ซากโบราณลอยน้ำ 5-5 (ทั่วไป)	Ruínas Flutuantes 6-5(Normal)	Ruinas Flotantes 6-5 (Normal)	Schwimmende Ruinen 6-5(Normal)	Парящие Руины 6-5(Норм)	Ruines flottantes 6-5 (Normal)	부유 유적 6-5(일반)
STAGE_NAME_661	浮遊遺跡6-6(普通)	浮游遗迹6-6(普通)	浮遊遺跡6-6(ノーマル)	Floating Ruins 6-6(Normal)	ซากโบราณลอยน้ำ 5-6 (ทั่วไป)	Ruínas Flutuantes 6-6(Normal)	Ruinas Flotantes 6-6 (Normal)	Schwimmende Ruinen 6-6(Normal)	Парящие Руины 6-6(Норм)	Ruines flottantes 6-6 (Normal)	부유 유적 6-6(일반)
STAGE_NAME_412	空軍基地4-1(困難)	空军基地4-1(困难)	エアフォース4-1(ハード)	Air Force 4-1(Hard)	ฐานทัพอากาศ 4-1 (ยาก)	Força Aérea 4-1(Difícil)	Fuerza Aérea 4-1 (Difícil)	Luftwaffe 4-1(Schwierig)	Воздушные Силы 4-1(Слож.)	Force aérienne 4-1 (Difficile)	공군 기지 4-1(어려움)
STAGE_NAME_422	空軍基地4-2(困難)	空军基地4-2(困难)	エアフォース4-2(ハード)	Air Force 4-2(Hard)	ฐานทัพอากาศ 4-2 (ยาก)	Força Aérea 4-2(Difícil)	Fuerza Aérea 4-2 (Difícil)	Luftwaffe 4-2(Schwierig)	Воздушные Силы 4-2(Слож.)	Force aérienne 4-2 (Difficile)	공군 기지 4-2(어려움)
STAGE_NAME_432	空軍基地4-3(困難)	空军基地4-3(困难)	エアフォース4-3(ハード)	Air Force 4-3(Hard)	ฐานทัพอากาศ 4-3 (ยาก)	Força Aérea 4-3(Difícil)	Fuerza Aérea 4-3 (Difícil)	Luftwaffe 4-3(Schwierig)	Воздушные Силы 4-3(Слож.)	Force aérienne 4-3 (Difficile)	공군 기지 4-3(어려움)
STAGE_NAME_442	空軍基地4-4(困難)	空军基地4-4(困难)	エアフォース4-4(ハード)	Air Force 4-4(Hard)	ฐานทัพอากาศ 4-4 (ยาก)	Força Aérea 4-4(Difícil)	Fuerza Aérea 4-4 (Difícil)	Luftwaffe 4-4(Schwierig)	Воздушные Силы 4-4(Слож.)	Force aérienne 4-4 (Difficile)	공군 기지 4-4(어려움)
STAGE_NAME_452	空軍基地4-5(困難)	空军基地4-5(困难)	エアフォース4-5(ハード)	Air Force 4-5(Hard)	ฐานทัพอากาศ 4-5 (ยาก)	Força Aérea 4-5(Difícil)	Fuerza Aérea 4-5 (Difícil)	Luftwaffe 4-5(Schwierig)	Воздушные Силы 4-5(Слож.)	Force aérienne 4-5 (Difficile)	공군 기지 4-5(어려움)
STAGE_NAME_462	空軍基地4-6(困難)	空军基地4-6(困难)	エアフォース4-6(ハード)	Air Force 4-6(Hard)	ฐานทัพอากาศ 4-6 (ยาก)	Força Aérea 4-6(Difícil)	Fuerza Aérea 4-6 (Difícil)	Luftwaffe 4-6(Schwierig)	Воздушные Силы 4-6(Слож.)	Force aérienne 4-6 (Difficile)	공군 기지 4-6(어려움)
STAGE_NAME_711	深綠之森7-1(普通)	深绿之森7-1(普通)	エリアフォレスト7-1(ノーマル)	Area Forest 7-1(Normal)	ผืนป่าเขียวขจี 7-1 (ทั่วไป)	Área Florestal 7-1(Normal)	Zona del Bosque 7-1 (Normal)	Gebietswald 7-1(Normal)	Лесная Зона 7-1(Норм)	Forêt 7-1 (Normal)	울창한 삼림 7-1(일반)
STAGE_NAME_721	深綠之森7-2(普通)	深绿之森7-2(普通)	エリアフォレスト7-2(ノーマル)	Area Forest 7-2(Normal)	ผืนป่าเขียวขจี 7-2 (ทั่วไป)	Área Florestal 7-2(Normal)	Zona del Bosque 7-2 (Normal)	Gebietswald 7-2(Normal)	Лесная Зона 7-2(Норм)	Forêt 7-2 (Normal)	울창한 삼림 7-2(일반)
STAGE_NAME_731	深綠之森7-3(普通)	深绿之森7-3(普通)	エリアフォレスト7-3(ノーマル)	Area Forest 7-3(Normal)	ผืนป่าเขียวขจี 7-3 (ทั่วไป)	Área Florestal 7-3(Normal)	Zona del Bosque 7-3 (Normal)	Gebietswald 7-3(Normal)	Лесная Зона 7-3(Норм)	Forêt 7-3 (Normal)	울창한 삼림 7-3(일반)
STAGE_NAME_741	深綠之森7-4(普通)	深绿之森7-4(普通)	エリアフォレスト7-4(ノーマル)	Area Forest 7-4(Normal)	ผืนป่าเขียวขจี 7-4 (ทั่วไป)	Área Florestal 7-4(Normal)	Zona del Bosque 7-4 (Normal)	Gebietswald 7-4(Normal)	Лесная Зона 7-4(Норм)	Forêt 7-4 (Normal)	울창한 삼림 7-4(일반)
STAGE_NAME_751	深綠之森7-5(普通)	深绿之森7-5(普通)	エリアフォレスト7-5(ノーマル)	Area Forest 7-5(Normal)	ผืนป่าเขียวขจี 7-5 (ทั่วไป)	Área Florestal 7-5(Normal)	Zona del Bosque 7-5 (Normal)	Gebietswald 7-5(Normal)	Лесная Зона 7-5(Норм)	Forêt 7-5 (Normal)	울창한 삼림 7-5(일반)
STAGE_NAME_761	深綠之森7-6(普通)	深绿之森7-6(普通)	エリアフォレスト7-6(ノーマル)	Area Forest 7-6(Normal)	ผืนป่าเขียวขจี 7-6 (ทั่วไป)	Área Florestal 7-6(Normal)	Zona del Bosque 7-6 (Normal)	Gebietswald 7-6(Normal)	Лесная Зона 7-6(Норм)	Forêt 7-6 (Normal)	울창한 삼림 7-6(일반)
